Make,Model,Condition,Price,Year,Body_Type,Fuel_Type,Enginer_Size,Fuel_Consumption,Acceleration,GearBox,DriveTrain,CO2_Emissions,Doors,Seats,Annual_Tax
AUDI,S4 AVANT,Used,15995,2008,Estate,Petrol,3.0L,33.6 mpg,5.1,Automatic,quattro,197,5 doors,5 seats,290
AUDI,S4 AVANT,Used,17990,2008,Estate,Petrol,3.0L,33.6 mpg,5.1,Automatic,quattro,197,5 doors,5 seats,290
AUDI,S4 AVANT,Used,16995,2008,Estate,Petrol,3.0L,29.4 mpg,5.3,Automatic,quattro,224,5 doors,5 seats,315
AUDI,S4 AVANT,Used,14990,2008,Estate,Petrol,3.0L,29.4 mpg,5.3,Automatic,quattro,224,5 doors,5 seats,315
AUDI,S4 AVANT,Used,15990,2008,Estate,Petrol,3.0L,33.6 mpg,5.1,Automatic,quattro,197,5 doors,5 seats,290
AUDI,S4 AVANT,Used,14995,2008,Estate,Petrol,3.0L,29.4 mpg,5.3,Automatic,quattro,224,5 doors,5 seats,315
AUDI,S4 AVANT,Used,15490,2008,Estate,Petrol,3.0L,29.4 mpg,5.3,Automatic,quattro,224,5 doors,5 seats,315
AUDI,S4 AVANT,Used,13991,2008,Estate,Petrol,3.0L,29.4 mpg,5.4,Automatic,quattro,224,5 doors,5 seats,315
AUDI,S4 AVANT,Used,13100,2008,Estate,Petrol,3.0L,29.4 mpg,5.3,Automatic,quattro,224,5 doors,5 seats,315
AUDI,S4 AVANT,Used,13432,2008,Estate,Petrol,3.0L,29.4 mpg,5.3,Automatic,quattro,224,5 doors,5 seats,315
AUDI,S4 AVANT,Used,12357,2008,Estate,Petrol,3.0L,29.4 mpg,5.3,Automatic,quattro,224,5 doors,5 seats,315
AUDI,S4 AVANT,Used,14950,2008,Estate,Petrol,3.0L,29.4 mpg,5.4,Automatic,quattro,224,5 doors,5 seats,315
AUDI,S4 AVANT,Used,12000,2008,Estate,Petrol,3.0L,29.4 mpg,5.3,Automatic,quattro,224,5 doors,5 seats,
AUDI,S4 AVANT,Used,14170,2008,Estate,Petrol,3.0L,29.4 mpg,5.3,Automatic,quattro,224,5 doors,5 seats,315
AUDI,S4 AVANT,Used,14750,2008,Estate,Petrol,3.0L,29.4 mpg,5.4,Automatic,quattro,224,5 doors,5 seats,315
AUDI,S4 AVANT,Used,12000,2008,Estate,Petrol,3.0L,29.4 mpg,5.3,Automatic,quattro,224,5 doors,5 seats,
AUDI,S4 AVANT,Used,8990,2004,Estate,Petrol,4.2L,22.8 mpg,5.8,Automatic,quattro,298,5 doors,5 seats,315
AUDI,S4 AVANT,Used,9450,2004,Estate,Petrol,4.2L,20.9 mpg,5.8,Manual,quattro,324,5 doors,5 seats,555
AUDI,S4 AVANT,Used,8888,1998,Estate,Petrol,2.7L,24.6 mpg,5.7,Manual,quattro,271,5 doors,5 seats,315
AUDI,S4 AVANT,Used,8595,2004,Estate,Petrol,4.2L,22.8 mpg,5.8,Automatic,quattro,298,5 doors,5 seats,555
