Make,Model,Condition,Price,Year,Body_Type,Fuel_Type,Enginer_Size,Fuel_Consumption,Acceleration,GearBox,DriveTrain,CO2_Emissions,Doors,Seats,Annual_Tax,Ad_Link
AUDI,TTS,Used,27000,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,,https://www.autotrader.co.uk/classified/advert/201812203388487
AUDI,TTS,Used,27000,2014,Coupe,Petrol,2.0L,38.7 mpg,4.9,Manual,quattro,168,2 doors,4 seats,230,https://www.autotrader.co.uk/classified/advert/201902275347433
AUDI,TTS,Used,26995,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,2 seats,,https://www.autotrader.co.uk/classified/advert/201901184063415
AUDI,TTS,Used,27000,2014,Convertible,Petrol,2.0L,40.9 mpg,4.9,Automatic,quattro,159,2 doors,2 seats,195,https://www.autotrader.co.uk/classified/advert/201902255269788
AUDI,TTS,Used,26995,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,195,https://www.autotrader.co.uk/classified/advert/201903035500395
AUDI,TTS,Used,26994,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,195,https://www.autotrader.co.uk/classified/advert/201902064680499
AUDI,TTS,Used,27490,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,,https://www.autotrader.co.uk/classified/advert/201902094765446
AUDI,TTS,Used,26992,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,195,https://www.autotrader.co.uk/classified/advert/201902054626417
AUDI,TTS,Used,26900,2014,Convertible,Petrol,2.0L,40.9 mpg,4.9,Automatic,quattro,159,2 doors,2 seats,195,https://www.autotrader.co.uk/classified/advert/201903015445682
AUDI,TTS,Used,27499,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,,https://www.autotrader.co.uk/classified/advert/201902124871866
AUDI,TTS,Used,26989,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,195,https://www.autotrader.co.uk/classified/advert/201901174047800
AUDI,TTS,Used,27465,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,195,https://www.autotrader.co.uk/classified/advert/201902195093168
